Table,Author,Title,Publication Title,Publication Year,DOI,Issue,Volume
literature,"Bixby, Dale; Talpaz, Moshe",Mechanisms of resistance to tyrosine kinase inhibitors in chronic myeloid leukemia and recent therapeutic strategies to overcome resistance,Hematology. American Society of Hematology. Education Program,2009,10.1182/asheducation-2009.1.461,1,2009
literature,"Weisberg, Ellen; Manley, Paul W.; Cowan-Jacob, Sandra W.; Hochhaus, Andreas; Griffin, James D.",Second generation inhibitors of BCR-ABL for the treatment of imatinib-resistant chronic myeloid leukaemia,Nature Reviews. Cancer,2007,10.1038/nrc2126,5,7
literature,"Shah, Neil P.; Nicoll, John M.; Nagar, Bhushan; Gorre, Mercedes E.; Paquette, Ronald L.; Kuriyan, John; Sawyers, Charles L.",Multiple BCR-ABL kinase domain mutations confer polyclonal resistance to the tyrosine kinase inhibitor imatinib (STI571) in chronic phase and blast crisis chronic myeloid leukemia,Cancer Cell,2002,10.1016/S1535-6108(02)00096-X,2,2
literature,"Cowan-Jacob, Sandra W.; Guez, Valerie; Fendrich, Gabriele; Griffin, James D.; Fabbro, Doriano; Furet, Pascal; Liebetanz, Janis; Mestan, Jürgen; Manley, Paul W.",Imatinib (STI571) resistance in chronic myelogenous leukemia: molecular basis of the underlying mechanisms and potential strategies for treatment,Mini Reviews in Medicinal Chemistry,2004,10.2174/1389557043487321,3,4
literature,"Quintás-Cardama, Alfonso; Kantarjian, Hagop; Cortes, Jorge",Imatinib and beyond--exploring the full potential of targeted therapy for CML,Nature Reviews. Clinical Oncology,2009,10.1038/nrclinonc.2009.112,9,6
literature,"Rokosz, Laura L.; Beasley, James R.; Carroll, Carolyn Diianni; Lin, Tsung; Zhao, Jiuqiao; Appell, Kenneth C.; Webb, Maria L.",Kinase inhibitors as drugs for chronic inflammatory and immunological diseases: progress and challenges,Expert Opinion on Therapeutic Targets,2008,10.1517/14728222.12.7.883,7,12
literature,"Zhang, Jianming; Yang, Priscilla L.; Gray, Nathanael S.",Targeting cancer with small molecule kinase inhibitors,Nature Reviews. Cancer,2009,10.1038/nrc2559,1,9
literature,"Ghoreschi, Kamran; Laurence, Arian; O'Shea, John J.",Selectivity and therapeutic inhibition of kinases: to be or not to be?,Nature Immunology,2009,10.1038/ni.1701,4,10
literature,"Shah, Neil P.; Tran, Chris; Lee, Francis Y.; Chen, Ping; Norris, Derek; Sawyers, Charles L.",Overriding imatinib resistance with a novel ABL kinase inhibitor,"Science (New York, N.Y.)",2004,10.1126/science.1099480,5682,305
literature,"Burgess, Michael R.; Skaggs, Brian J.; Shah, Neil P.; Lee, Francis Y.; Sawyers, Charles L.",Comparative analysis of two clinically active BCR-ABL kinase inhibitors reveals the role of conformation-specific binding in resistance,Proceedings of the National Academy of Sciences of the United States of America,2005,10.1073/pnas.0409770102,9,102
literature,"Karaman, Mazen W.; Herrgard, Sanna; Treiber, Daniel K.; Gallant, Paul; Atteridge, Corey E.; Campbell, Brian T.; Chan, Katrina W.; Ciceri, Pietro; Davis, Mindy I.; Edeen, Philip T.; Faraoni, Raffaella; Floyd, Mark; Hunt, Jeremy P.; Lockhart, Daniel J.; Milanov, Zdravko V.; Morrison, Michael J.; Pallares, Gabriel; Patel, Hitesh K.; Pritchard, Stephanie; Wodicka, Lisa M.; Zarrinkar, Patrick P.",A quantitative analysis of kinase inhibitor selectivity,Nature Biotechnology,2008,10.1038/nbt1358,1,26
literature,"Ray, Arghya; Cowan-Jacob, Sandra W.; Manley, Paul W.; Mestan, Jürgen; Griffin, James D.",Identification of BCR-ABL point mutations conferring resistance to the Abl kinase inhibitor AMN107 (nilotinib) by a random mutagenesis study,Blood,2007,10.1182/blood-2006-01-015347,11,109
literature,"Weisberg, E.; Sattler, M.; Ray, A.; Griffin, J. D.",Drug resistance in mutant FLT3-positive AML,Oncogene,2010,10.1038/onc.2010.273,37,29
literature,"Redaelli, Sara; Piazza, Rocco; Rostagno, Roberta; Magistroni, Vera; Perini, Pietro; Marega, Manuela; Gambacorti-Passerini, Carlo; Boschelli, Frank","Activity of bosutinib, dasatinib, and nilotinib against 18 imatinib-resistant BCR/ABL mutants",Journal of Clinical Oncology: Official Journal of the American Society of Clinical Oncology,2009,10.1200/JCO.2008.19.8853,3,27
literature,"Roumiantsev, Sergei; Shah, Neil P.; Gorre, Mercedes E.; Nicoll, John; Brasher, Bradley B.; Sawyers, Charles L.; Van Etten, Richard A.",Clinical resistance to the kinase inhibitor STI-571 in chronic myeloid leukemia by mutation of Tyr-253 in the Abl kinase domain P-loop,Proceedings of the National Academy of Sciences of the United States of America,2002,10.1073/pnas.162140299,16,99
literature,"Azam, Mohammad; Latek, Robert R.; Daley, George Q.",Mechanisms of autoinhibition and STI-571/imatinib resistance revealed by mutagenesis of BCR-ABL,Cell,2003,10.1016/s0092-8674(03)00190-9,6,112
literature,"Ji, Mingfei; Zheng, Guodong; Li, Xiaolong; Zhang, Zhongqin; Jv, Guanqun; Wang, Xiaowei; Wang, Jialin",Computational dissection of allosteric inhibition of the SH2 domain of Bcr-Abl kinase by the monobody inhibitor AS25,Journal of Molecular Modeling,2017,10.1007/s00894-017-3353-5,6,23
literature,"Poláková, Kateřina Machová; Lopotová, Tereza; Klamová, Hana; Moravcová, Jana",High-resolution melt curve analysis: Initial screening for mutations in BCR-ABL kinase domain,Leukemia Research,2008,10.1016/j.leukres.2008.01.010,8,32
literature,"Levinson, Nicholas M.; Kuchment, Olga; Shen, Kui; Young, Matthew A.; Koldobskiy, Michael; Karplus, Martin; Cole, Philip A.; Kuriyan, John",A Src-like inactive conformation in the abl tyrosine kinase domain,PLoS biology,2006,10.1371/journal.pbio.0040144,5,4
